brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Nissan,Sentra SV,2017,61872,1.8L I4 16V MPFI DOHC,1.8,Automatic CVT,1,Gasoline,Front-wheel Drive,,,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,Black,Silver,11999
Jeep,Grand Cherokee Altitude,2018,88138,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,23,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,Black,Bright White Clearcoat,23990
Mazda,CX-3 Touring,2017,42142,2.0L I4 16V GDI DOHC,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,26,35,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,Black,Meteor Gray Mica,18994
Alfa,Romeo Stelvio Ti,2019,20444,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Black,Rosso,32472
Kia,Niro LXS,2020,20247,1.6L I4 16V GDI DOHC Hybrid,1.6,6-Speed Automatic with Auto-Shift,1,Hybrid,Front-wheel Drive,23,34,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,Gray,Snow White Pearl,22995
Jaguar,F-PACE SVR,2023,4385,Intercooled Supercharger Premium Unleaded V-8 5.0 L/305,5,Automatic,1,Gasoline,Four-wheel Drive,21,26,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,Ebony/Ebony/Light Oyster,Fuji White,89977
Kia,Sorento X-Line EX,2022,5964,2.5L I4 16V PDI DOHC Turbo,2.5,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,18,24,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,Gray,Passion Red Tintcoat,40735
MINI,Convertible John Cooper Works,2018,20226,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Front-wheel Drive,28,37,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,Black,Midnight Black Metallic,28491
Audi,A8 L 3.0T,2016,94487,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,29,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,Black,Black,22995
Jeep,Grand Cherokee Limited,2018,71726,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,30,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,Black,Diamond Black,26180
Toyota,Avalon Limited,2022,9980,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,22,31,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,Cognac,Wind Chill Pearl,42900
BMW,X3 M40i,2018,30245,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,27,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,Black,Phytonic Blue Metallic,39750
Porsche,911 GT3,2022,3651,4.0L H6 24V GDI DOHC,4,Automatic,1,Gasoline,Rear-wheel Drive,19,27,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,Black,Red,279995
FIAT,124 Spider Abarth,2019,7154,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,26,35,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,Nero,Forte Black Metallic,33871
Chevrolet,Tahoe High Country,2022,28174,6.2L V8 16V GDI OHV,6.2,10-Speed Automatic,1,Gasoline,Four-wheel Drive,14,19,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,Jet Black,Dark Ash Metallic,74223
MINI,Hardtop Cooper,2023,1787,1.5L I3 12V GDI DOHC Turbo,1.5,Automatic,1,Gasoline,Front-wheel Drive,,,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,Carbon Black,Moonwalk Gray Metallic,29977
Nissan,Titan S,2017,92973,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,30,39,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,Black,Silver,18900
Toyota,Prius Prime Premium,2017,78148,1.8L I4 16V MPFI DOHC Hybrid,1.8,Automatic CVT,1,Hybrid,Front-wheel Drive,,,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,Black,Magnetic Gray Metallic,24755
Lexus,NX 200t F Sport,2017,40687,2.0L I4 16V PDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,,Atomic Silver,30789
MINI,Countryman Cooper S ALL4,2015,87429,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Four-wheel Drive,24,34,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,Carbon Black,Jungle Green,14592
Volvo,XC90 T6 Momentum,2018,117775,"Drive-E 2L I-4 gasoline direct injection, DOHC, variable valve c",,Automatic,1,Gasoline,Four-wheel Drive,23,34,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,BLACK,GRAY,23995
Hyundai,Tucson Limited,2018,43291,1.6L I4 16V GDI DOHC Turbo,1.6,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,15,23,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,Beige,Dazzling White,24582
Maserati,Levante Trofeo,2021,12075,3.8L V8 32V GDI DOHC Twin Turbo,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,14,20,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,Red,Black,109900
Volvo,S90 T5 Momentum,2017,60989,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,,,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,Amber,Black Stone,25604
Alfa,Romeo Giulia Ti,2019,17004,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,Black,Rosso,29619
Mazda,CX-5 Grand Touring,2016,133906,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,Parchment,Soul Red Metallic,15634
Jeep,Cherokee Latitude,2017,73014,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Black,Diamond Black,18675
Volvo,XC90 B6 Plus 7-Seater,2023,5999,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Four-wheel Drive,20,25,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,Blond,Onyx Black,64553
Porsche,911 Carrera 4S,2022,4850,"3L H-6 gasoline direct injection, DOHC, VarioCam Plus variable v",3,"Automatic, 8-Spd PDK Dual-Clutch",1,Gasoline,Four-wheel Drive,20,24,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,SLATE GRAY,Shark Blue,165900
Jaguar,XK R,2012,54574,5.0L V8 32V GDI DOHC Supercharged,5,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,19,30,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Charcoal / Ivory,Ebony,30990
BMW,128 i,2013,119133,3.0L I6 24V MPFI DOHC,3,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,19,28,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,,Alpine White,18900
Nissan,Pathfinder SV,2018,59314,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1,Gasoline,Four-wheel Drive,23,32,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,Charcoal,Caspian Blue,22995
Porsche,944 S2,1991,50471,3.0L I4 16V DOHC,3,5-Speed Manual,0,Gasoline,Rear-wheel Drive,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Red,24900
Mercedes-Benz,GLE 350,2020,36755,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,17,27,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,Espresso Brown,Polar White,47890
Alfa,Romeo Giulia Ti,2017,55362,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,28,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,Black,Alfa Black,20600
MINI,Cooper S Countryman Base,2012,95559,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",1.6,Automatic 6-Speed,1,Gasoline,Four-wheel Drive,26,37,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Black,White,12995
MINI,Countryman John Cooper Works ALL4,2019,33353,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Four-wheel Drive,21,30,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,,Gray,34988
Cadillac,XT4 Premium Luxury,2019,10435,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Front-wheel Drive,18,27,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,Black,Stellar Black Metallic,33256
Lexus,NX 350 F SPORT Handling,2022,6484,2.4L I4 16V PDI DOHC Turbo,2.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,31,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,Red,Black,52647
FIAT,500 Sport,2013,129287,1.4L I4 16V MPFI SOHC,1.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,31,40,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Black,Bianco White,6838
Cadillac,Escalade Premium,2016,89175,6.2L V8 16V GDI OHV,6.2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,26,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,Jet Black,Crystal White Tri-Coat,36463
Kia,Telluride SX-Prestige X-Line,2023,4525,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,Black,Wolf Gray,55904
Nissan,NV Cargo NV2500 HD SV V6/SV V8,2021,18106,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Rear-wheel Drive,25,32,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Gray,Glacier White,43990
Audi,Q5 3.2 Premium,2010,87572,3.2L V6 24V GDI DOHC,3.2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,18,23,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Black,Silver,12985
BMW,228 Gran Coupe i xDrive,2020,26052,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,33,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,Black,Jet Black,32329
Ford,Edge ST,2020,17367,2.7L V6 24V GDI DOHC Twin Turbo,2.7,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,Ebony,Iconic Silver Metallic,38000
Volvo,XC60 T6 Momentum,2019,41152,"Drive-E 2L I-4 gasoline direct injection, DOHC, variable valve c",,Automatic,1,Gasoline,Four-wheel Drive,21,29,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Gray,Bright Silver Metallic,34980
Volkswagen,Golf GTI 2.0T Autobahn,2022,14036,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Front-wheel Drive,22,31,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,Titan Black,Deep Black Pearl Effect,38588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,Q5 2.0T Premium Plus,2017,89654,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,2,8-Speed Automatic,1,E85 Flex Fuel,Four-wheel Drive,20,27,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,Chestnut Brown,Glacier White Metallic,19989
FIAT,500C Lounge,2015,82978,1.4L I4 16V MPFI SOHC,1.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,31,40,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,9999
Honda,Civic EX,2022,13712,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1,Gasoline,Front-wheel Drive,33,42,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,Black,Platinum White Pearl,25900
Audi,Q3 45 S line Premium Plus,2020,48813,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,27,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,Black,Chronos Gray Metallic,30991
Land,Rover Discovery Landmark Edition,2020,27448,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,Ebony / Ebony,Yulong White,50762
BMW,840 i,2023,7652,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,Black,Black Sapphire Metallic,79998
Chevrolet,Blazer RS,2021,35492,3.6L V6 24V GDI DOHC,3.6,9-Speed Automatic,1,Gasoline,Front-wheel Drive,20,27,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,Jet Black,Bright Blue Metallic,37511
Honda,Insight Touring,2019,6954,1.5L I4 16V MPFI DOHC Hybrid,1.5,Automatic CVT,1,Hybrid,Front-wheel Drive,45,51,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,Black,Aegean Blue Metallic,26760
Ford,Bronco Raptor,2022,6400,3.0L V6 24V GDI DOHC Twin Turbo,3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,15,16,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,Black Onyx,Shadow Black,102995
Honda,Accord Crosstour EX-L,2010,173228,"3.5L V-6 i-VTEC variable valve control, engine with cylinder dea",3.5,Automatic,1,Gasoline,Front-wheel Drive,18,27,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,Black,White,9495
Ford,Explorer XLT,2021,30634,2.3L I4 16V GDI DOHC Turbo,2.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,20,27,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,Light Slate,Star White,37546
Mercedes-Benz,G-Class,2018,34443,,,,0,Gasoline,Unknown,23,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,designo manufaktur Mocha Brown Leather,designo Mauritius Blue,94995
FIAT,500L Trekking,2014,43896,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed,0,Gasoline,Front-wheel Drive,25,33,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Black,Giallo (Yellow),12745
Jeep,Cherokee Overland,2018,71362,3.2L V6 24V MPFI DOHC,3.2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,13,18,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,Black,Bright White Clearcoat,27490
BMW,M340 i,2022,2437,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,23,32,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,Canberra Beige,Mineral White Metallic,53500
Mitsubishi,Eclipse GT,2006,126909,3.8L V6 24V MPFI SOHC,3.8,,0,Gasoline,Front-wheel Drive,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sunset,8676
Toyota,Tundra Grade,2011,90460,"I-FORCE 5.7L V-8 DOHC, VVT-i variable valve control, engine with",5.7,Automatic,1,Gasoline,Four-wheel Drive,13,17,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,Sand Beige,Black,21990
Maserati,Levante GranLusso,2019,26756,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,Beige,Bianco,51830
Lexus,NX 200t Base,2015,152520,2.0L I4 16V PDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,19,25,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,Black,Beige,17390
Jaguar,F-PACE S,2019,36140,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,30,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,Ebony,Santorini Black Metallic,46998
Porsche,Cayenne Turbo S,2018,51779,"4.8L V-8 gasoline direct injection, DOHC, VarioCam Plus variable",4.8,Automatic,1,Gasoline,Four-wheel Drive,18,23,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,Luxor Beige,White,73895
Chevrolet,Silverado 1500 2LT,2014,64099,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",5.3,Automatic,1,Gasoline,Four-wheel Drive,16,22,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Jet Black/Dark Ash,Black,21999
Alfa,Romeo Stelvio Ti,2018,54408,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,Black,Silverstone Gray Metallic,26788
Mitsubishi,Outlander Sport ES,2021,34159,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,23,29,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Black,Diamond White Pearl,18980
Mercedes-Benz,CLS 450 Base,2020,19955,3.0L I6 24V GDI DOHC Turbo,3,9-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,27,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,Black,Selenite Gray Metallic,55551
Toyota,Tundra SR5,2022,3376,3.5L V6 24V PDI DOHC Twin Turbo,3.5,10-Speed Automatic,1,Gasoline,Rear-wheel Drive,18,23,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Black,White,42990
Audi,A7 3.0T Prestige,2018,69419,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,29,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,Black,Tornado Gray Metallic,31796
Land,Rover LR4 HSE,2012,117000,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,5,6-Speed A/T,0,Gasoline,Four-wheel Drive,19,24,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,Beige,White,14500
Nissan,Frontier Desert Runner,2016,54644,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Steel,Magnetic Black,20494
Lexus,RX 350 F Sport,2019,51422,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,28,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,Rioja Red,Caviar,38789
Jeep,Wrangler Unlimited Sahara,2019,37110,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Black,Bright White Clearcoat,39500
Volkswagen,Taos 1.5T SE,2022,14625,1.5L I4 16V GDI DOHC Turbo,1.5,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,25,32,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,Black,Pure White,29000
Jaguar,F-TYPE R,2016,30374,5.0L V8 32V GDI DOHC Supercharged,5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,Jet /J et,Polaris White,53900
Lexus,IS 250 Base,2014,54397,2.5L V6 24V PDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,15,18,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,Parchment,Starfire Pearl,25490
Toyota,Tundra Platinum,2018,79893,5.7L V8 32V MPFI DOHC,5.7,6-Speed Automatic,1,Gasoline,Four-wheel Drive,13,17,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,Black,Silver Sky Metallic,40990
Honda,Pilot Touring 8-Passenger,2020,51639,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,Black,Crystal Black Pearl,36327
Jaguar,XF S,2016,69226,V6,,Automatic,1,Gasoline,Rear-wheel Drive,20,28,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,Jet / Light Oyster,Glacier White,24998
